Year	Day	Month	temp
1997	27	11	6.162708333
1997	28	11	7.87875
1997	29	11	10.00458333
1997	30	11	8.381458333
1997	1	12	4.143829787
1997	2	12	2.531875
1997	3	12	1.9225
1997	4	12	1.40125
1997	5	12	0.59875
1997	6	12	2.500625
1997	7	12	2.850416667
1997	8	12	6.148125
1997	9	12	9.32125
1997	10	12	11.343125
1997	11	12	11.89291667
1997	12	12	8.486875
1997	13	12	6.53
1997	14	12	6.602708333
1997	15	12	1.603541667
1997	16	12	-2.190833333
1997	17	12	-2.096875
1997	18	12	6.483125
1997	19	12	7.935
1997	20	12	4.781041667
1997	21	12	2.803333333
1997	22	12	2.835555556
1997	26	12	7.214137931
1997	27	12	6.13125
1997	28	12	5.052083333
1997	29	12	4.821041667
1997	30	12	5.428125
1997	31	12	9.097708333
1998	1	1	5.535531915
1998	2	1	7.77625
1998	3	1	8.164583333
1998	4	1	6.63
1998	5	1	5.772916667
1998	6	1	6.15625
1998	7	1	9.817291667
1998	8	1	9.457291667
1998	9	1	10.37520833
1998	10	1	7.58375
1998	11	1	6.649375
1998	12	1	7.802708333
1998	13	1	7.801666667
1998	14	1	9.061666667
1998	15	1	7.382083333
1998	16	1	7.53875
1998	17	1	5.426666667
1998	18	1	4.947708333
1998	19	1	5.617083333
1998	20	1	3.523958333
1998	21	1	0.613125
1998	22	1	-2.297708333
1998	23	1	-0.524166667
1998	24	1	1.918541667
1998	25	1	0.52875
1998	26	1	-2.345208333
1998	27	1	-3.063958333
1998	28	1	-0.66875
1998	29	1	2.347708333
1998	30	1	1.863541667
1998	31	1	0.8875
1998	1	2	-4.692291667
1998	2	2	-2.890416667
1998	3	2	1.992083333
1998	4	2	1.086875
1998	5	2	3.366458333
1998	6	2	5.008541667
1998	7	2	3.444375
1998	8	2	3.566666667
1998	9	2	6.273541667
1998	10	2	6.587291667
1998	11	2	8.13625
1998	12	2	10.43666667
1998	13	2	12.07625
1998	14	2	10.37125
1998	15	2	11.10604167
1998	16	2	10.844375
1998	17	2	6.369791667
1998	18	2	5.647708333
1998	19	2	7.62
1998	20	2	10.60625
1998	21	2	9.882708333
1998	22	2	6.643541667
1998	23	2	6.22375
1998	24	2	8.833958333
1998	25	2	8.7675
1998	26	2	8.352916667
1998	27	2	8.6225
1998	28	2	5.41875
1998	1	3	2.78625
1998	2	3	8.054166667
1998	3	3	10.31708333
1998	4	3	11.77916667
1998	5	3	6.9075
1998	6	3	8.0175
1998	7	3	10.20208333
1998	8	3	6.003125
1998	9	3	2.382083333
1998	10	3	4.368333333
1998	11	3	3.059583333
1998	12	3	3.872291667
1998	13	3	3.567708333
1998	14	3	7.413958333
1998	15	3	7.684375
1998	16	3	8.747916667
1998	17	3	9.11
1998	18	3	9.110625
1998	19	3	6.542291667
1998	20	3	6.074791667
1998	21	3	7.096666667
1998	22	3	6.29375
1998	23	3	4.879791667
1998	24	3	3.316666667
1998	25	3	6.204583333
1998	26	3	6.631041667
1998	27	3	9.891041667
1998	28	3	12.96541667
1998	29	3	14.74958333
1998	30	3	15.080625
1998	31	3	13.2075
1998	1	4	10.8375
1998	2	4	11.21229167
1998	3	4	11.37229167
1998	4	4	10.520625
1998	5	4	9.829166667
1998	6	4	8.930208333
1998	7	4	6.620208333
1998	8	4	7.700625
1998	9	4	7.433958333
1998	10	4	6.881666667
1998	11	4	6.298125
1998	12	4	4.99
1998	13	4	3.651458333
1998	14	4	4.366666667
1998	15	4	5.383541667
1998	16	4	5.983125
1998	17	4	7.322708333
1998	18	4	8.048541667
1998	19	4	8.256458333
1998	20	4	10.44666667
1998	21	4	11.124375
1998	22	4	15.84354167
1998	23	4	15.20729167
1998	24	4	12.59020833
1998	25	4	12.94916667
1998	26	4	10.93416667
1998	27	4	9.951875
1998	28	4	10.30645833
1998	29	4	11.51208333
1998	30	4	10.94770833
1998	1	5	10.25375
1998	2	5	9.617708333
1998	3	5	9.080416667
1998	4	5	8.498125
1998	5	5	9.725208333
1998	6	5	11.555
1998	7	5	13.17625
1998	8	5	16.72604167
1998	9	5	19.03291667
1998	10	5	21.26645833
1998	11	5	23.77208333
1998	12	5	24.54666667
1998	13	5	23.79666667
1998	14	5	21.3725
1998	15	5	19.388125
1998	16	5	17.27020833
1998	17	5	16.62208333
1998	18	5	18.11666667
1998	19	5	17.05041667
1998	20	5	14.92
1998	21	5	12.31208333
1998	22	5	9.948958333
1998	23	5	10.29833333
1998	24	5	11.36229167
1998	25	5	13.68625
1998	26	5	12.32270833
1998	27	5	11.678125
1998	28	5	14.96270833
1998	29	5	16.2975
1998	30	5	15.66479167
1998	31	5	15.74895833
1998	1	6	16.39479167
1998	2	6	17.04083333
1998	3	6	15.116875
1998	4	6	14.96229167
1998	5	6	13.6775
1998	6	6	17.77520833
1998	7	6	16.06354167
1998	8	6	15.835
1998	9	6	16.50729167
1998	10	6	15.89520833
1998	11	6	13.45729167
1998	12	6	11.3825
1998	13	6	12.27854167
1998	14	6	13.32604167
1998	15	6	14.6825
1998	16	6	14.28145833
1998	17	6	14.09875
1998	18	6	14.98208333
1998	19	6	19.24270833
1998	20	6	23.036875
1998	21	6	23.565
1998	22	6	17.89166667
1998	23	6	16.11270833
1998	24	6	19.32666667
1998	25	6	18.7775
1998	26	6	17.12
1998	27	6	17.05520833
1998	28	6	15.93333333
1998	29	6	15.56395833
1998	30	6	14.20166667
1998	1	7	15.82166667
1998	2	7	15.30479167
1998	3	7	14.645625
1998	4	7	16.14083333
1998	5	7	17.91416667
1998	6	7	16.18
1998	7	7	13.38520833
1998	8	7	14.50958333
1998	9	7	16.04979167
1998	10	7	16.72270833
1998	11	7	16.59104167
1998	12	7	16.81666667
1998	13	7	16.35
1998	14	7	14.94833333
1998	15	7	15.94125
1998	16	7	15.270625
1998	17	7	15.37229167
1998	18	7	16.19958333
1998	19	7	17.935625
1998	20	7	23.47083333
1998	21	7	20.84333333
1998	22	7	18.34708333
1998	23	7	19.5325
1998	24	7	17.13395833
1998	25	7	15.89604167
1998	26	7	17.59354167
1998	27	7	17.9425
1998	28	7	17.17916667
1998	29	7	15.75875
1998	30	7	16.49958333
1998	31	7	16.39291667
1998	1	8	16.316875
1998	2	8	16.42166667
1998	3	8	17.835
1998	4	8	17.28291667
1998	5	8	17.71979167
1998	6	8	19.13604167
1998	7	8	20.49166667
1998	8	8	22.02083333
1998	9	8	19.68291667
1998	10	8	23.44541667
1998	11	8	23.93291667
1998	12	8	20.95166667
1998	13	8	16.96270833
1998	14	8	19.15145833
1998	15	8	18.73791667
1998	16	8	17.36354167
1998	17	8	17.99166667
1998	18	8	18.616875
