treatment,day,DOMaddition,DOM,bact_DOM,bact,fungi,resp_substrate,resp_soil_baseline,resp_soil,POM,MAOMs,MAOMp,MAOM
exudates,48,0,2.6012121970775834,4.285067004942775,6.949838483700177,2.3521667918325844,1.0620269913525158,3.874808350470845,117.15391119264883,6157.348321840857,14649.463958371434,8319.707761375925,22969.17171974736
exudates,49,0,1.9419612366046175,3.9141807467251657,6.862501475909473,2.26861311699177,0.992337048008236,3.7671236339151415,87.67937746070797,6098.491683163485,14622.63851739619,8317.919154421146,22940.557671817336
exudates,50,0,1.4674913565157213,3.4600923569274475,6.779628746849364,2.1888645144880763,0.8825324005638606,3.6169116768391634,63.252059658561066,6056.392242938938,14602.978726101011,8316.634973483198,22919.61369958421
exudates,51,0,1.1357054558543591,2.9876613593017116,6.701368360864318,2.1127291435838846,0.7543377133853999,3.445924011605009,44.70297228057082,6026.949912801295,14588.818517065518,8315.738815317556,22904.557332383076
exudates,52,0,0.9077060559840648,2.540698201369159,6.62770564834463,2.040015334848276,0.6248728828245281,3.2721313186275176,31.4700383185094,6006.500989291133,14578.610958030038,8315.12172574092,22893.73268377096
exudates,53,0,0.7523186925244478,2.143240670182417,6.55851128551076,1.9705355156345759,0.5051534259949918,3.107623183080163,22.451861061124795,5992.160993820141,14571.111513327096,8314.695670504427,22885.807183831523
exudates,54,0,0.6465673205089233,1.804527918869823,6.49358509464674,1.904109236572811,0.40079033249670337,2.958976410168044,16.507312161339176,5981.8355606675705,14565.404602336255,8314.395728747255,22879.800331083512
exudates,55,0,0.5743908195111714,1.5243624704269252,6.432689720514204,1.840565058322295,0.31350753060921305,2.8286470965488575,12.674721204013652,5974.089757551963,14560.857691759846,8314.176995206473,22875.03468696632
exudates,56,10,9.68699637514242,2.105060950117971,6.372535174240758,1.7795789286489012,0.24308145148723043,2.716467148613941,127.41496900766276,5888.732692205098,14521.667154827444,8311.494383667214,22833.161538494656
exudates,57,0,8.561355960709326,2.764759178709068,6.312336116757891,1.7209834349036126,0.4461316639339077,2.843883197332741,154.89545488797796,5785.173509597271,14473.783383754315,8308.180487533331,22781.963871287648
exudates,58,0,7.26082069573377,3.4189309905575325,6.251580195506091,1.6646365309260465,0.6501619420662745,2.993853035175853,173.59706985584765,5669.580821214139,14419.666263490975,8304.406530660246,22724.072794151223
exudates,59,0,5.899553993061169,3.9552773005576536,6.190170806998006,1.6104254586449533,0.8364687671390666,3.142759674573288,177.6257550288933,5551.963078028908,14363.686019559576,8300.482834834304,22664.16885439388
exudates,60,0,4.607894061168889,4.27596070114709,6.128447831260169,1.5582643465582309,0.9788774446335888,3.2594092556783423,165.6535753007024,5442.985647347753,14310.830246374151,8296.768446574675,22607.598692948828
exudates,61,0,3.4881139773970444,4.337921700577824,6.067059707840748,1.5080854874034504,1.0555457360027074,3.3167460065627425,141.723696044053,5350.395088305303,14265.028759843075,8293.550636435062,22558.57939627814
exudates,62,0,2.589310439276225,4.163018395795691,6.0067591588107465,1.459828551140533,1.0593228062454938,3.3029923540005286,112.61750882752105,5277.336960942139,14228.171389324827,8290.971567010902,22519.14295633573
exudates,63,0,1.910757170148506,3.816888774940231,5.948225400966409,1.4134324464912205,0.9996236452346177,3.2244006000496466,84.38594269461021,5222.988598478082,14200.203092018339,8289.032273194076,22489.235365212415
