treatment,day,DOMaddition,DOM,bact_DOM,bact,fungi,respSubstrate,baselineResp,respSoil,POM,MAOMs,MAOMp,MAOM
control,52,0.00,37.49,104.59,4.70,13.21,0.00,0.16,0.16,0.00,0.01,3.95,3.96
control,53,0.00,36.51,102.19,4.32,12.69,0.00,0.15,0.15,0.00,0.01,3.95,3.96
control,54,0.00,35.55,99.82,3.97,12.20,0.00,0.15,0.15,0.00,0.01,3.95,3.96
control,55,0.00,34.62,97.50,3.64,11.72,0.00,0.15,0.15,0.00,0.01,3.95,3.96
control,56,0.00,33.71,95.21,3.34,11.26,0.00,0.14,0.14,0.00,0.01,3.95,3.96
control,57,0.00,32.82,92.95,3.07,10.83,0.00,0.14,0.14,0.00,0.01,3.95,3.96
control,58,0.00,31.96,90.74,2.82,10.40,0.00,0.14,0.14,0.00,0.01,3.95,3.96
control,59,0.00,31.12,88.57,2.59,10.00,0.00,0.13,0.13,0.00,0.01,3.95,3.96
control,60,0.00,30.30,86.44,2.38,9.61,0.00,0.13,0.13,0.00,0.01,3.95,3.96
control,61,0.00,29.50,84.35,2.19,9.23,0.00,0.12,0.12,0.00,0.01,3.95,3.97
control,62,0.00,28.73,82.30,2.01,8.88,0.00,0.12,0.12,0.00,0.01,3.95,3.97
control,63,0.00,27.97,80.29,1.84,8.53,0.00,0.12,0.12,0.00,0.02,3.95,3.97
control,64,0.00,27.24,78.33,1.69,8.20,0.00,0.11,0.11,0.00,0.02,3.95,3.97
control,65,0.00,26.52,76.40,1.56,7.88,0.00,0.11,0.11,0.00,0.02,3.95,3.97
control,66,0.00,25.83,74.51,1.43,7.57,0.00,0.11,0.11,0.00,0.02,3.95,3.97
control,67,0.00,25.15,72.67,1.31,7.28,0.00,0.11,0.11,0.00,0.02,3.95,3.97
control,68,0.00,24.49,70.86,1.21,6.99,0.00,0.10,0.10,0.00,0.02,3.95,3.97
control,69,0.00,23.84,69.09,1.11,6.72,0.00,0.10,0.10,0.00,0.02,3.95,3.97
control,70,0.00,23.22,67.36,1.02,6.46,0.00,0.10,0.10,0.00,0.02,3.95,3.97
control,71,0.00,22.61,65.67,0.93,6.21,0.00,0.10,0.10,0.00,0.02,3.95,3.97
control,72,0.00,22.01,64.02,0.86,5.97,0.00,0.09,0.09,0.00,0.02,3.95,3.97
control,73,0.00,21.43,62.41,0.79,5.73,0.00,0.09,0.09,0.00,0.02,3.95,3.97
control,74,0.00,20.87,60.83,0.72,5.51,0.00,0.09,0.09,0.00,0.02,3.95,3.97
control,75,0.00,20.32,59.29,0.67,5.30,0.00,0.09,0.09,0.00,0.02,3.95,3.97
control,76,0.00,19.79,57.79,0.61,5.09,0.00,0.08,0.08,0.00,0.02,3.95,3.97
control,77,0.00,19.27,56.32,0.56,4.89,0.00,0.08,0.08,0.00,0.02,3.95,3.97
control,78,0.00,18.76,54.88,0.52,4.70,0.00,0.08,0.08,0.00,0.02,3.95,3.97
control,79,0.00,18.27,53.48,0.47,4.52,0.00,0.08,0.08,0.00,0.02,3.95,3.97
control,80,0.00,17.79,52.12,0.44,4.34,0.00,0.07,0.07,0.00,0.02,3.95,3.97
control,81,0.00,17.32,50.78,0.40,4.17,0.00,0.07,0.07,0.00,0.02,3.95,3.97
control,82,0.00,16.86,49.48,0.37,4.01,0.00,0.07,0.07,0.00,0.02,3.95,3.97
control,83,0.00,16.42,48.21,0.34,3.85,0.00,0.07,0.07,0.00,0.02,3.95,3.97
control,84,0.00,15.99,46.97,0.31,3.70,0.00,0.07,0.07,0.00,0.02,3.95,3.97
control,85,0.00,15.57,45.76,0.29,3.56,0.00,0.07,0.07,0.00,0.02,3.95,3.97
control,86,0.00,15.16,44.58,0.26,3.42,0.00,0.06,0.06,0.00,0.02,3.95,3.97
control,87,0.00,14.76,43.43,0.24,3.29,0.00,0.06,0.06,0.00,0.02,3.95,3.97
control,88,0.00,14.37,42.31,0.22,3.16,0.00,0.06,0.06,0.00,0.02,3.95,3.97
control,89,0.00,13.99,41.22,0.20,3.04,0.00,0.06,0.06,0.00,0.02,3.95,3.97
control,90,0.00,13.63,40.15,0.19,2.92,0.00,0.06,0.06,0.00,0.02,3.95,3.97
control,91,0.00,13.27,39.11,0.17,2.81,0.00,0.06,0.06,0.00,0.02,3.95,3.97
control,92,0.00,12.92,38.10,0.16,2.70,0.00,0.05,0.05,0.00,0.02,3.95,3.97
control,93,0.00,12.58,37.11,0.15,2.59,0.00,0.05,0.05,0.00,0.02,3.95,3.97
control,94,0.00,12.25,36.15,0.13,2.49,0.00,0.05,0.05,0.00,0.02,3.95,3.97
control,95,0.00,11.93,35.21,0.12,2.39,0.00,0.05,0.05,0.00,0.02,3.95,3.98
control,96,0.00,11.61,34.29,0.11,2.30,0.00,0.05,0.05,0.00,0.02,3.95,3.98
control,97,0.00,11.31,33.40,0.11,2.21,0.00,0.05,0.05,0.00,0.02,3.95,3.98
control,98,0.00,11.01,32.53,0.10,2.13,0.00,0.05,0.05,0.00,0.02,3.95,3.98
control,99,0.00,10.72,31.69,0.09,2.04,0.00,0.04,0.04,0.00,0.02,3.95,3.98
control,100,0.00,10.44,30.86,0.08,1.96,0.00,0.04,0.04,0.00,0.02,3.95,3.98
control,101,0.00,10.17,30.06,0.08,1.89,0.00,0.04,0.04,0.00,0.02,3.95,3.98
control,102,0.00,9.90,29.27,0.07,1.81,0.00,0.04,0.04,0.00,0.02,3.95,3.98
control,103,0.00,9.64,28.51,0.06,1.74,0.00,0.04,0.04,0.00,0.02,3.95,3.98
control,104,0.00,9.39,27.77,0.06,1.68,0.00,0.04,0.04,0.00,0.02,3.95,3.98
control,105,0.00,9.14,27.04,0.05,1.61,0.00,0.04,0.04,0.00,0.02,3.95,3.98
control,106,0.00,8.90,26.34,0.05,1.55,0.00,0.04,0.04,0.00,0.02,3.95,3.98
control,107,0.00,8.67,25.65,0.05,1.49,0.00,0.04,0.04,0.00,0.02,3.95,3.98
control,108,0.00,8.44,24.98,0.04,1.43,0.00,0.04,0.04,0.00,0.02,3.95,3.98
control,109,0.00,8.22,24.33,0.04,1.37,0.00,0.03,0.03,0.00,0.02,3.95,3.98
control,110,0.00,8.01,23.69,0.04,1.32,0.00,0.03,0.03,0.00,0.02,3.95,3.98
control,111,0.00,7.80,23.07,0.03,1.27,0.00,0.03,0.03,0.00,0.02,3.95,3.98
control,112,0.00,7.59,22.47,0.03,1.22,0.00,0.03,0.03,0.00,0.02,3.95,3.98
control,113,0.00,7.39,21.88,0.03,1.17,0.00,0.03,0.03,0.00,0.02,3.95,3.98
control,114,0.00,7.20,21.31,0.03,1.13,0.00,0.03,0.03,0.00,0.02,3.95,3.98
control,115,0.00,7.01,20.75,0.03,1.08,0.00,0.03,0.03,0.00,0.02,3.95,3.98
control,116,0.00,6.83,20.21,0.02,1.04,0.00,0.03,0.03,0.00,0.02,3.95,3.98
control,117,0.00,6.65,19.68,0.02,1.00,0.00,0.03,0.03,0.00,0.02,3.95,3.98
control,118,0.00,6.48,19.17,0.02,0.96,0.00,0.03,0.03,0.00,0.02,3.95,3.98
control,119,0.00,6.31,18.67,0.02,0.93,0.00,0.03,0.03,0.00,0.02,3.95,3.98
control,120,0.00,6.14,18.18,0.02,0.89,0.00,0.03,0.03,0.00,0.02,3.95,3.98
control,121,0.00,5.98,17.71,0.02,0.86,0.00,0.02,0.02,0.00,0.02,3.95,3.98
control,122,0.00,5.83,17.24,0.02,0.82,0.00,0.02,0.02,0.00,0.02,3.95,3.98
control,123,0.00,5.67,16.79,0.01,0.79,0.00,0.02,0.02,0.00,0.02,3.95,3.98
control,124,0.00,5.53,16.36,0.01,0.76,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,125,0.00,5.38,15.93,0.01,0.73,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,126,0.00,5.24,15.51,0.01,0.70,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,127,0.00,5.11,15.11,0.01,0.68,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,128,0.00,4.97,14.71,0.01,0.65,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,129,0.00,4.84,14.33,0.01,0.62,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,130,0.00,4.72,13.96,0.01,0.60,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,131,0.00,4.60,13.59,0.01,0.58,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,132,0.00,4.48,13.24,0.01,0.55,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,133,0.00,4.36,12.89,0.01,0.53,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,134,0.00,4.25,12.56,0.01,0.51,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,135,0.00,4.14,12.23,0.01,0.49,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,136,0.00,4.03,11.91,0.01,0.47,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,137,0.00,3.93,11.60,0.01,0.46,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,138,0.00,3.82,11.30,0.01,0.44,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,139,0.00,3.73,11.00,0.01,0.42,0.00,0.02,0.02,0.00,0.02,3.96,3.98
control,140,0.00,3.63,10.72,0.01,0.41,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,141,0.00,3.54,10.44,0.01,0.39,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,142,0.00,3.44,10.17,0.01,0.37,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,143,0.00,3.36,9.90,0.01,0.36,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,144,0.00,3.27,9.65,0.01,0.35,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,145,0.00,3.18,9.40,0.01,0.33,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,146,0.00,3.10,9.15,0.01,0.32,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,147,0.00,3.02,8.91,0.01,0.31,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,148,0.00,2.94,8.68,0.00,0.30,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,149,0.00,2.87,8.46,0.00,0.29,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,150,0.00,2.80,8.24,0.00,0.27,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,151,0.00,2.72,8.03,0.00,0.26,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,152,0.00,2.65,7.82,0.00,0.25,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,153,0.00,2.59,7.62,0.00,0.24,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,154,0.00,2.52,7.42,0.00,0.24,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,155,0.00,2.45,7.23,0.00,0.23,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,156,0.00,2.39,7.04,0.00,0.22,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,157,0.00,2.33,6.86,0.00,0.21,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,158,0.00,2.27,6.68,0.00,0.20,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,159,0.00,2.21,6.51,0.00,0.19,0.00,0.01,0.01,0.00,0.02,3.96,3.98
control,160,0.00,2.16,6.34,0.00,0.19,0.00,0.01,0.01,0.00,0.02,3.96,3.98
exudates,0,12.50,39.25,99.78,391.37,102.29,0.00,0.79,186.87,12.70,20.32,10.52,30.84
exudates,1,0.00,59.46,97.97,359.55,98.47,0.00,0.73,209.08,8.86,19.22,10.45,29.67
exudates,2,0.00,74.91,99.23,330.31,94.77,0.00,0.68,192.24,5.62,17.95,10.36,28.31
exudates,3,0.00,86.68,102.51,303.44,91.20,0.01,0.64,172.65,3.09,16.47,10.25,26.72
exudates,4,0.00,95.50,107.11,278.75,87.74,0.01,0.61,153.49,1.32,14.70,10.12,24.81
exudates,5,0.00,101.91,112.56,256.07,84.41,0.01,0.58,135.43,0.36,12.61,9.94,22.55
exudates,6,0.00,106.32,118.48,235.22,81.18,0.01,0.55,118.69,0.04,10.32,9.71,20.03
exudates,7,0.00,109.11,124.59,216.06,78.07,0.01,0.53,103.35,0.00,8.14,9.46,17.60
exudates,8,0.00,110.57,130.68,198.45,75.07,0.01,0.51,89.48,0.00,6.28,9.19,15.46
exudates,9,0.00,110.98,136.58,182.28,72.17,0.01,0.49,77.10,0.00,4.73,8.90,13.63
exudates,10,0.00,110.57,142.15,167.42,69.38,0.01,0.48,66.19,0.00,3.45,8.60,12.05
exudates,11,0.00,109.52,147.31,153.76,66.69,0.01,0.46,56.68,0.00,2.42,8.28,10.70
exudates,12,0.00,107.98,151.99,141.22,64.10,0.01,0.45,48.43,0.00,1.62,7.94,9.55
exudates,13,0.00,106.09,156.15,129.70,61.61,0.01,0.44,41.34,0.00,1.01,7.56,8.57
exudates,14,12.50,114.61,161.41,119.11,59.21,0.01,0.43,64.11,0.00,0.22,6.82,7.04
exudates,15,0.00,110.71,165.79,109.39,56.91,0.01,0.42,48.01,0.00,0.19,5.72,5.90
exudates,16,0.00,106.93,169.35,100.46,54.69,0.02,0.41,36.26,0.00,0.01,5.03,5.04
exudates,17,0.00,103.31,172.15,92.26,52.56,0.02,0.40,27.70,0.00,0.01,4.38,4.39
exudates,18,0.00,99.86,174.25,84.73,50.51,0.02,0.39,21.35,0.00,0.00,3.89,3.89
exudates,19,0.00,96.57,175.73,77.82,48.54,0.02,0.38,16.62,0.00,0.00,3.50,3.50
exudates,20,0.00,93.44,176.63,71.47,46.65,0.02,0.37,13.04,0.00,0.00,3.19,3.20
exudates,21,0.00,90.47,177.02,65.63,44.83,0.02,0.36,10.31,0.00,0.00,2.96,2.96
exudates,22,0.00,87.64,176.96,60.28,43.08,0.02,0.36,8.20,0.00,0.00,2.77,2.77
exudates,23,0.00,84.95,176.50,55.36,41.40,0.02,0.35,6.55,0.00,0.00,2.62,2.62
exudates,24,0.00,82.39,175.68,50.84,39.79,0.02,0.34,5.24,0.00,0.00,2.50,2.51
exudates,25,0.00,79.94,174.55,46.69,38.24,0.02,0.33,4.20,0.00,0.00,2.41,2.41
exudates,26,0.00,77.59,173.14,42.88,36.75,0.02,0.32,3.36,0.00,0.00,2.34,2.34
exudates,27,0.00,75.34,171.49,39.38,35.32,0.02,0.31,2.67,0.00,0.00,2.28,2.29
exudates,28,12.50,83.67,171.44,36.16,33.94,0.02,0.31,11.98,0.00,0.00,2.01,2.01
exudates,29,0.00,79.96,170.80,33.21,32.62,0.02,0.30,8.87,0.00,0.00,1.80,1.80
exudates,30,0.00,76.64,169.67,30.50,31.35,0.03,0.29,6.63,0.00,0.00,1.65,1.65
exudates,31,0.00,73.63,168.14,28.01,30.13,0.03,0.29,5.00,0.00,0.00,1.54,1.54
exudates,32,0.00,70.89,166.28,25.72,28.95,0.03,0.28,3.78,0.00,0.00,1.45,1.46
exudates,33,0.00,68.38,164.16,23.63,27.82,0.02,0.28,2.86,0.00,0.00,1.39,1.39
exudates,34,0.00,66.07,161.83,21.70,26.74,0.02,0.27,2.14,0.00,0.00,1.35,1.35
exudates,35,0.00,63.91,159.33,19.93,25.70,0.02,0.26,1.58,0.00,0.00,1.32,1.32
exudates,36,0.00,61.89,156.70,18.30,24.69,0.02,0.26,1.14,0.00,0.00,1.30,1.30
exudates,37,0.00,59.98,153.97,16.81,23.73,0.02,0.25,0.78,0.00,0.00,1.28,1.29
exudates,38,0.00,58.18,151.16,15.43,22.81,0.02,0.24,0.49,0.00,0.00,1.28,1.28
exudates,39,0.00,56.47,148.29,14.17,21.92,0.02,0.24,0.25,0.00,0.00,1.28,1.28
exudates,40,0.00,54.83,145.39,13.02,21.06,0.02,0.23,0.21,0.00,0.00,1.28,1.28
exudates,41,0.00,53.27,142.46,11.96,20.24,0.02,0.23,0.21,0.00,0.00,1.28,1.28
exudates,42,12.50,62.21,141.37,10.98,19.45,0.04,0.22,5.68,0.00,0.00,1.15,1.15
exudates,43,0.00,59.12,139.84,10.08,18.70,0.03,0.22,4.20,0.00,0.00,1.06,1.06
exudates,44,0.00,56.40,137.98,9.26,17.97,0.03,0.21,3.12,0.00,0.00,0.99,0.99
exudates,45,0.00,53.98,135.85,8.50,17.27,0.03,0.21,2.32,0.00,0.00,0.94,0.94
exudates,46,0.00,51.82,133.53,7.81,16.59,0.03,0.20,1.72,0.00,0.00,0.90,0.90
exudates,47,0.00,49.87,131.06,7.17,15.95,0.03,0.20,1.25,0.00,0.00,0.87,0.88
exudates,48,0.00,48.08,128.49,6.59,15.33,0.03,0.19,0.89,0.00,0.00,0.86,0.86
exudates,49,0.00,46.44,125.85,6.05,14.73,0.03,0.19,0.60,0.00,0.00,0.85,0.85
exudates,50,0.00,44.92,123.16,5.56,14.15,0.03,0.19,0.38,0.00,0.00,0.84,0.85
exudates,51,0.00,43.49,120.45,5.10,13.60,0.02,0.18,0.19,0.00,0.00,0.84,0.85
exudates,52,0.00,42.15,117.73,4.69,13.07,0.02,0.18,0.15,0.00,0.00,0.84,0.85
exudates,53,0.00,40.88,115.02,4.30,12.56,0.02,0.17,0.15,0.00,0.00,0.84,0.85
exudates,54,0.00,39.68,112.32,3.95,12.07,0.02,0.17,0.14,0.00,0.00,0.84,0.85
exudates,55,0.00,38.53,109.65,3.63,11.60,0.02,0.16,0.14,0.00,0.00,0.84,0.85
exudates,56,12.50,47.88,108.86,3.33,11.15,0.05,0.16,3.59,0.00,0.00,0.76,0.77
exudates,57,0.00,45.17,107.67,3.06,10.72,0.04,0.16,2.67,0.00,0.00,0.70,0.71
exudates,58,0.00,42.83,106.18,2.81,10.30,0.03,0.15,1.99,0.00,0.00,0.66,0.66
exudates,59,0.00,40.78,104.46,2.58,9.90,0.03,0.15,1.48,0.00,0.00,0.63,0.63
exudates,60,0.00,38.98,102.56,2.37,9.51,0.03,0.15,1.10,0.00,0.00,0.61,0.61
exudates,61,0.00,37.37,100.54,2.18,9.14,0.03,0.15,0.80,0.00,0.00,0.59,0.59
exudates,62,0.00,35.93,98.43,2.00,8.79,0.03,0.14,0.57,0.00,0.00,0.58,0.58
exudates,63,0.00,34.61,96.27,1.84,8.44,0.03,0.14,0.39,0.00,0.00,0.57,0.57
exudates,64,0.00,33.41,94.07,1.69,8.11,0.03,0.14,0.25,0.00,0.00,0.57,0.57
exudates,65,0.00,32.29,91.86,1.55,7.80,0.03,0.13,0.13,0.00,0.00,0.57,0.57
exudates,66,0.00,31.25,89.66,1.42,7.49,0.03,0.13,0.10,0.00,0.00,0.57,0.57
exudates,67,0.00,30.28,87.46,1.31,7.20,0.02,0.13,0.10,0.00,0.00,0.57,0.57
exudates,68,0.00,29.36,85.29,1.20,6.92,0.02,0.12,0.10,0.00,0.00,0.57,0.57
exudates,69,0.00,28.48,83.14,1.10,6.65,0.02,0.12,0.10,0.00,0.00,0.57,0.57
exudates,70,12.50,38.11,82.86,1.01,6.39,0.06,0.12,2.39,0.00,0.00,0.52,0.52
exudates,71,0.00,35.68,82.20,0.93,6.14,0.04,0.12,1.80,0.00,0.00,0.48,0.48
exudates,72,0.00,33.59,81.23,0.85,5.90,0.04,0.11,1.35,0.00,0.00,0.45,0.45
exudates,73,0.00,31.80,80.03,0.78,5.67,0.04,0.11,1.02,0.00,0.00,0.42,0.43
exudates,74,0.00,30.23,78.66,0.72,5.45,0.03,0.11,0.77,0.00,0.00,0.41,0.41
exudates,75,0.00,28.86,77.16,0.66,5.24,0.03,0.11,0.57,0.00,0.00,0.40,0.40
exudates,76,0.00,27.64,75.56,0.61,5.04,0.03,0.11,0.42,0.00,0.00,0.39,0.39
exudates,77,0.00,26.55,73.91,0.56,4.84,0.03,0.10,0.30,0.00,0.00,0.38,0.39
exudates,78,0.00,25.56,72.22,0.51,4.65,0.03,0.10,0.21,0.00,0.00,0.38,0.38
exudates,79,0.00,24.65,70.51,0.47,4.47,0.03,0.10,0.13,0.00,0.00,0.38,0.38
exudates,80,0.00,23.82,68.80,0.43,4.30,0.03,0.10,0.07,0.00,0.00,0.38,0.38
exudates,81,0.00,23.04,67.09,0.40,4.13,0.03,0.09,0.07,0.00,0.00,0.38,0.38
exudates,82,0.00,22.31,65.39,0.36,3.97,0.03,0.09,0.07,0.00,0.00,0.38,0.38
exudates,83,0.00,21.63,63.72,0.33,3.81,0.02,0.09,0.07,0.00,0.00,0.38,0.38
exudates,84,12.50,31.47,63.88,0.31,3.66,0.06,0.09,1.59,0.00,0.00,0.35,0.35
exudates,85,0.00,29.22,63.66,0.28,3.52,0.04,0.09,1.21,0.00,0.00,0.32,0.32
exudates,86,0.00,27.31,63.13,0.26,3.38,0.04,0.09,0.92,0.00,0.00,0.30,0.30
exudates,87,0.00,25.69,62.37,0.24,3.25,0.04,0.09,0.70,0.00,0.00,0.28,0.28
exudates,88,0.00,24.29,61.44,0.22,3.13,0.04,0.09,0.54,0.00,0.00,0.27,0.27
exudates,89,0.00,23.07,60.36,0.20,3.00,0.03,0.08,0.41,0.00,0.00,0.26,0.26
exudates,90,0.00,22.00,59.19,0.18,2.89,0.03,0.08,0.31,0.00,0.00,0.26,0.26
exudates,91,0.00,21.06,57.95,0.17,2.77,0.03,0.08,0.23,0.00,0.00,0.25,0.25
exudates,92,0.00,20.22,56.66,0.16,2.67,0.03,0.08,0.17,0.00,0.00,0.25,0.25
exudates,93,0.00,19.45,55.35,0.14,2.56,0.03,0.08,0.12,0.00,0.00,0.25,0.25
exudates,94,0.00,18.76,54.02,0.13,2.46,0.03,0.08,0.08,0.00,0.00,0.25,0.25
exudates,95,0.00,18.11,52.68,0.12,2.37,0.03,0.07,0.05,0.00,0.00,0.25,0.25
exudates,96,0.00,17.52,51.35,0.11,2.27,0.03,0.07,0.05,0.00,0.00,0.25,0.25
exudates,97,0.00,16.96,50.04,0.10,2.19,0.03,0.07,0.04,0.00,0.00,0.25,0.25
exudates,98,12.50,26.95,50.52,0.09,2.10,0.06,0.07,1.03,0.00,0.00,0.23,0.23
exudates,99,0.00,24.84,50.63,0.09,2.02,0.04,0.07,0.79,0.00,0.00,0.21,0.21
exudates,100,0.00,23.06,50.44,0.08,1.94,0.04,0.07,0.61,0.00,0.00,0.20,0.20
